location,year,withdrawal_mg,discharge_mg,consumption_mg,consumptive_fraction,latitude,longitude,bws_score,bws_label,risk_class,high_stress_screen,reported_cooling_note,qa_flag,report_file,report_printed_page,source_ids,source_locators,scientific_boundary
"Midlothian, TX",2024,221.0,38.7,182.3,0.8248868778280544,32.4824,-96.9944,0.7935737774316687,Low (<10%),Low,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Midlothian, TX",2025,263.6,43.4,220.2,0.8353566009104703,32.4824,-96.9944,0.7935737774316687,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Montgomery County, TN",2022,285.3,36.6,248.7,0.871713985278654,36.496,-87.385,1.1240926164413865,Low - Medium (10-20%),Low-medium,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Montgomery County, TN",2023,342.0,53.4,288.6,0.8438596491228071,36.496,-87.385,1.1240926164413865,Low - Medium (10-20%),Low-medium,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Montgomery County, TN",2024,387.9,66.1,321.8,0.8295952565094097,36.496,-87.385,1.1240926164413865,Low - Medium (10-20%),Low-medium,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Montgomery County, TN",2025,499.5,74.8,424.7,0.8502502502502503,36.496,-87.385,1.1240926164413865,Low - Medium (10-20%),Low-medium,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"New Albany, OH",2022,69.9,20.3,49.6,0.7095851216022889,40.0812,-82.8088,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"New Albany, OH",2023,152.0,24.9,127.1,0.8361842105263158,40.0812,-82.8088,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"New Albany, OH",2024,405.3,52.6,352.7,0.8702195904268443,40.0812,-82.8088,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"New Albany, OH",2025,1008.1,172.4,835.7,0.8289852197202658,40.0812,-82.8088,2.8343255504112053,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
