location,location_label,architecture_id,month,daily_records,water_years,mean_withdrawal_ml_day,mean_consumption_ml_day,flow_q10_ml_day,flow_median_ml_day,pressure_p50_pct,pressure_p90_pct,pressure_p95_pct,pressure_p99_pct,architecture_label,hydrology_source_id,utility_source_id,model_source_id
Seattle_WA,Seattle,water_cooled_evaporative,3,930,30,17.249131712627936,17.249131712627936,1137.657628680192,1651.43849324544,0.731145528519954,1.0613379539191574,1.1438702157795326,1.4310604289706428,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,4,900,30,17.354130306973452,17.354130306973452,988.1718628471604,1496.0809461030913,0.8119814217438173,1.229330482558986,1.3137358722983885,1.4067106709097885,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,5,930,30,17.454861151844938,17.454861151844938,954.164462764032,1573.1480757878785,0.7766867306897118,1.2805342562116682,1.379972735117141,1.4971282661046066,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,6,900,30,17.548201323721468,17.548201323721468,941.6869274817332,1201.2685928644607,1.0225640626559696,1.304440790888011,1.4555128445111398,1.646214657439908,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,7,930,30,17.641672799526734,17.641672799526734,765.7781457567744,946.8247361273856,1.304272109554102,1.6126303718767971,1.6856059412636832,1.7799508450258412,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,8,930,30,17.708893461695116,17.708893461695116,601.8575842050049,724.1863614824448,1.711745219533119,2.0596609145601756,2.1745776179476533,2.321126804519505,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,9,900,30,17.590738175367985,17.590738175367985,604.3041597505536,718.0699226185728,1.7148124536332907,2.0376356051959656,2.2074385722956293,2.455467031284279,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,10,930,30,17.40923985865238,17.40923985865238,839.1754121232384,1092.3959810875392,1.1155737840373865,1.4521955392166572,1.5614516299414214,1.7116943984581214,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,11,900,30,17.292650708839894,17.292650708839894,1051.7828270314292,1645.322054381568,0.7357138473483508,1.1508898121222182,1.2495704990225598,1.4342338825552652,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
Seattle_WA,Seattle,water_cooled_evaporative,12,930,30,17.166734198946635,17.166734198946635,1088.726117769216,1967.0467386212351,0.6109012919380623,1.1037407611644992,1.2174132739277843,1.4154600539429454,Water-cooled evaporative,USGS_12117500,SEATTLE_WSP_2019,LEI_MASANET_2022
