first_location,first_architecture,first_month,first_consumption_ml_day,first_pressure_p95_pct,second_location,second_architecture,second_month,second_consumption_ml_day,second_pressure_p95_pct,consumption_difference_pct,pressure_ratio,hydrology_source_ids,model_source_id
Council Bluffs,Water-cooled evaporative,2,16.84823400219893,0.0470552009074579,Seattle,Water-cooled evaporative,3,17.249131712627936,1.1438702157795326,2.324161685979319,24.309113418283964,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,3,17.070105170738085,0.0476423525591946,Seattle,Water-cooled evaporative,3,17.249131712627936,1.1438702157795326,1.0378872680228126,24.009524180366586,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,Seattle,Water-cooled evaporative,1,17.125193144448993,1.1806652775159978,0.16428918426235609,23.912457000203233,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,11,17.15337428313222,0.0493744861728748,Seattle,Water-cooled evaporative,3,17.249131712627936,1.1438702157795326,0.5551434767328783,23.167232804702046,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,4,17.602846437659863,0.8648748435260727,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,1.4124551886052887,21.568555132494293,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,5,17.830684138680336,0.8268216358804037,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,2.6721914603254517,20.619570764157626,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,3,17.41115935851971,0.8010068027762554,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,0.32706172827561364,19.975791314205132,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,1,17.065796158191247,0.7971616790451956,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,1.6619476953926384,19.879900256897344,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,11,17.376695685310406,0.7927291293276406,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,0.12937767863711344,19.76935976230875,USGS_02336000; USGS_06610000,LEI_MASANET_2022
Atlanta,Water-cooled evaporative,2,17.19450877402098,0.7840678433968516,Council Bluffs,Water-cooled evaporative,10,17.354214119808915,0.0400988771947495,0.9202683837215012,19.553361546480325,USGS_02336000; USGS_06610000,LEI_MASANET_2022
